Name,Category,Provenance,Average_rating,Download_count,Number_of_comments,View_count,Organization,Business_unit,How_data_collected,Update_frequency,Time_period_Covered,dataset_contains_geospatial,Tags
Secondary Suites by Community Map,Business and Economic Activity,official,0,20,0,478,The City of Calgary,Calgary Approvals Coordination,null,Weekly,null,Yes,null
Secondary Suites by Ward Map,Business and Economic Activity,official,0,19,0,82,The City of Calgary,Calgary Approvals Coordination,null,Weekly,null,Yes,null
Secondary Suites Data Lens,Business and Economic Activity,official,0,26,0,1966,The City of Calgary,Calgary Approvals Coordination,null,Weekly,null,Yes,"['secondary', 'suites']"
Secondary Suites map with Ward boundaries,Business and Economic Activity,official,0,590,0,575,The City of Calgary,Calgary Approvals Coordination,null,Weekly,null,Yes,"['secondary', 'suites']"
Senior management expenses,Government,official,0,16,0,302,The City of Calgary,Finance,null,Semiannual,January 2020-,null,"['expense', 'disclosure', 'senior', 'management', 'expenses']"
Shared Mobility Pilot - Origin and Destination Grid,Transportation/Transit,official,0,46,0,306,The City of Calgary,Transportation Planning,null,None,null,Yes,null
Shared Mobility Pilot - Origin and Destination Grids,Transportation/Transit,official,0,1,0,175,null,null,null,null,null,null,null
Shared Mobility Pilot - Trip Segment Counts,Transportation/Transit,official,0,38,0,150,The City of Calgary,Transportation Planning,null,None,null,Yes,null
Shared Mobility Pilot - Trip Segment Counts,Transportation/Transit,official,0,4,0,121,null,null,null,null,null,null,null
Shared Mobility Pilot Trip Dates and Times,Transportation/Transit,official,0,1,0,108,null,null,null,null,null,null,null
Shared Mobility Pilot Trip Starts,Transportation/Transit,official,0,4,0,228,null,null,null,null,null,null,null
Shared Mobility Pilot Trips,Transportation/Transit,official,0,96,0,884,The City of Calgary,Transportation Planning,null,None,"July 1, 2019 - September 30, 2019",Yes,null
Short Term Rentals,Business and Economic Activity,official,0,132,0,1094,The City of Calgary,Calgary Approvals Coordination,null,Daily,null,Yes,"['short term rental', 'str', 'lodging house', 'host', 'guest']"
Short term rentals by Ward,Business and Economic Activity,official,0,1,0,31,The City of Calgary,Calgary Approvals Coordination,null,Daily,null,Yes,null
Short term rentals data lens,Business and Economic Activity,official,0,4,0,310,null,null,null,null,null,null,null
Short term rentals in Communities,Business and Economic Activity,official,0,2,0,76,The City of Calgary,Calgary Approvals Coordination,null,Daily,null,Yes,null
Single Family and Multi Family Garbage Composition,Help and Information,official,0,28,0,219,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,"['waste', 'garbage', 'waste composition']"
Single Family Black Cart Garbage Composition - Diversion Potential,Help and Information,official,0,2,0,24,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Single Family Black Cart Garbage Composition - Material Category,Help and Information,official,0,2,0,23,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Single Family Black Cart Garbage Composition 2019,Help and Information,official,0,2,0,31,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Single Family Black Cart Material Diversion Potential,Help and Information,official,0,1,0,50,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Single Family Black Cart Proper Disposal Location,Help and Information,official,0,0,0,18,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Single family home ownership by Community,Demographics,official,0,6,0,123,The City of Calgary,City Clerk's Office,null,Annually,1998-present,null,null
Solar Energy Production,Environment,official,0,337,0,1376,The City of Calgary,Corporate Analytics and Innovation,null,Daily,null,null,"['solar', 'pv', 'photovoltaic', 'energy', 'power']"
Solar Photovoltaic Sites,Environment,official,0,115,0,419,The City of Calgary,Corporate Analytics and Innovation,null,Daily,null,null,"['solar', 'pv', 'photovoltaic', 'energy', 'power']"
Solar Potential 2012-2013 (images-.tiff),Environment,official,0,185,0,1294,The City of Calgary,Corporate Analytics and Innovation,LiDAR,None,2012-2013,Yes,"['solar potential', 'buildings', 'alternative energy']"
Solar Potential 2012-2017 (images-.tiff),Environment,official,0,51,0,178,The City of Calgary,Corporate Analytics and Innovation,LiDAR,None,2012-2017,null,null
Solar Potential 2018 (images-.tiff),Environment,official,0,33,0,86,The City of Calgary,Corporate Analytics and Innovation,LiDAR,None,2018,Yes,"['solar', 'solar potential']"
Solar Power Energy Utilization,Environment,official,0,11,0,377,null,null,null,null,null,null,null
Source Watershed Vulnerability,Environment,official,0,166,0,473,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['water', 'source water', 'vulnerability', 'drinking water', 'source water protection']"
Source Watershed Vulnerability,Environment,official,0,9,0,5,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,null
Speed Limits,Health and Safety,official,0,184,0,484,The City of Calgary,Roads,null,Monthly,null,Yes,"['speed', 'limit']"
Speed Limits Map,Health and Safety,official,0,3,0,5109,null,null,null,null,null,null,null
Sport Barriers,Recreation and Culture,official,0,95,0,198,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Sport Barriers,Recreation and Culture,official,0,19,0,10,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
STOP,Transportation/Transit,official,0,24,0,104,The City of Calgary,Calgary Transit,Automated Passenger Counter (APC),None,20180507-20180625 and 20190506-20190623,Yes,null
Street Centreline,Transportation/Transit,official,0,121,0,287,The City of Calgary,Corporate Analytics and Innovation,null,Quarterly,null,Yes,"['road', 'street', 'transportation', 'network', 'transnet', 'roadnet']"
Street Centreline,null,official,0,1,0,103,null,null,null,null,null,null,null
Street Names,Base Maps,official,0,618,0,2367,The City of Calgary,Corporate Analytics and Innovation,Digitized from plans,Weekly,null,Yes,['address']
Streetlight Poles,Health and Safety,official,0,167,0,627,The City of Calgary,Roads,null,Monthly,null,Yes,"['streetlight', 'paint', 'color']"
Student Enrolment Trends,null,official,0,6,0,149,null,null,null,null,null,null,null
Subdivision and Development Appeal Board (SDAB) Decisions,Government,official,0,209,0,1550,The City of Calgary,City Clerk's Office,null,Weekly,2014-Present,Yes,"['sdab', 'hearing', 'appeals', 'board', 'rulings', 'decision', 'development', 'permit']"
Tenancy Change Applications,null,official,0,603,0,1633,The City of Calgary,Planning and Development,null,Daily,2007-present,Yes,"['planning', 'business', 'permit', 'application']"
Total daily production at City solar photovoltaic installations (kWh),Environment,official,0,8,0,200,null,null,null,null,null,null,null
Total Number of Licensed Pets,Services and Amenities,official,0,5,0,261,The City of Calgary,Calgary Community Standards,null,Monthly,null,Yes,null
Tracks - LRT,Transportation/Transit,official,0,422,0,1031,The City of Calgary,Calgary Transit,null,Monthly,null,Yes,"['tracks', 'lrt', 'transit']"
Tracks - LRT Centre Line,Transportation/Transit,official,0,211,0,489,The City of Calgary,Calgary Transit,null,Monthly,null,Yes,null
Tracks - Non- LRT,Transportation/Transit,official,0,13,0,7,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,null,Yes,null
Tracks - Non- LRT,Transportation/Transit,official,0,170,0,354,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,null,Yes,"['railway', 'tracks', 'rail', 'train']"
Tracks - Non- LRT Centre Line,Transportation/Transit,official,0,113,0,213,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,null,Yes,"['railway', 'tracks', 'rail', 'train']"
Tracks - Non- LRT Centre Line,Transportation/Transit,official,0,13,0,22,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,null,Yes,null
Traffic Camera Locations,Transportation/Transit,official,0,700,0,8017,The City of Calgary,Roads,null,null,null,Yes,"['traffic', 'camera', 'monitoring']"
Traffic Camera Locations,Transportation/Transit,official,0,24,0,5888,The City of Calgary,Roads,null,Daily,null,Yes,null
Traffic Cameras,Transportation/Transit,official,0,1042,0,36675,The City of Calgary,Roads,null,Daily,null,Yes,"['traffic', 'camera', 'monitoring']"
Traffic Control Signals in Communities,Health and Safety,official,0,15,0,197,null,null,null,null,null,null,null
Traffic Control Signals Installed Annually,Health and Safety,official,0,5,0,62,null,null,null,null,null,null,null
Traffic Counts at Permanent stations,Transportation/Transit,official,0,30,0,281,The City of Calgary,Transportation Planning,null,Monthly,null,null,"['counts', 'volumes', 'traffic', 'car', 'vehicle']"
Traffic Incidents,Transportation/Transit,official,0,3566,5,33183,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),Continuous,December 2016-present,Yes,"['traffic', 'incident', 'road', 'safety']"
Traffic Incidents Archive 2016,Transportation/Transit,official,0,1494,9,1544,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),None,"Dec 6-Dec 20, 2016 only",Yes,"['traffic', 'incident', 'archive', 'log', '2016']"
Traffic Incidents Archive 2016 Heat Map,Transportation/Transit,official,0,523,0,611,The City of Calgary,Roads,null,null,null,Yes,"['traffic', 'incident']"
Traffic Incidents Archive 2017,Transportation/Transit,official,0,9735,0,1040,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),None,"Jan 27, 2017-Jan 19, 2018",Yes,"['traffic', 'incident', 'archive', 'log', '2017']"
Traffic Incidents Archive 2017 Heat Map,Transportation/Transit,official,0,1103,0,8532,The City of Calgary,Transportation Planning,null,null,null,Yes,"['traffic', 'incident', 'archive', 'log']"
Traffic Incidents Archive 2017 Point Map,Transportation/Transit,official,0,544,0,599,The City of Calgary,Transportation Planning,null,null,null,Yes,"['traffic', 'incident', 'archive', 'log']"
Traffic Incidents By Community,Transportation/Transit,official,0,16,0,121,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),null,"Jan 27, 2017-Jan 19, 2018",Yes,null
Traffic Signals,Health and Safety,official,0,377,0,2161,The City of Calgary,Roads,null,Daily,null,Yes,"['signals', 'traffic', 'traffic signals', 'transportation', 'safety']"
Traffic Signs,Transportation/Transit,official,0,178,0,610,The City of Calgary,Roads,null,Daily,null,Yes,"['sign', 'road', 'yield', 'playground', 'stop', 'parking', 'handicap', 'residential']"
Traffic Volumes for 2015,Transportation/Transit,official,0,214,0,1307,The City of Calgary,Transportation Planning,null,Annual,null,Yes,"['weekday', 'traffic', 'volume']"
Traffic Volumes for 2015,Transportation/Transit,official,0,664,0,4,The City of Calgary,Transportation Planning,null,Annual,null,Yes,null
Traffic Volumes for 2016,Transportation/Transit,official,0,722,0,10,The City of Calgary,Transportation Planning,null,None,null,Yes,"['weekday', 'traffic', 'volume', 'safety', 'pedhacks']"
Traffic Volumes for 2016,Transportation/Transit,official,0,236,0,1788,The City of Calgary,Transportation Planning,null,None,null,Yes,"['traffic', 'flow', 'volume', '2016']"
Traffic Volumes for 2017,Transportation/Transit,official,0,150,0,1103,The City of Calgary,Transportation Planning,null,None,null,Yes,['2017 traffic flow volume']
Traffic Volumes for 2017,Transportation/Transit,official,0,60,0,31,The City of Calgary,Transportation Planning,null,None,null,Yes,"['traffic', 'flow', 'weekday', 'safety', 'pedhacks']"
Traffic Volumes for 2018,Transportation/Transit,official,0,433,0,2102,The City of Calgary,Transportation Planning,null,None,null,Yes,"['traffic', 'volumes', 'segments', 'roads']"
Traffic Volumes for 2019,Transportation/Transit,official,0,3,0,25,The City of Calgary,Transportation Planning,null,None,null,Yes,"['traffic', 'volumes', 'segments', 'roads']"
Trails,Recreation and Culture,official,0,247,0,478,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,['trails']
Trails,Recreation and Culture,official,0,26,0,25,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Transit- Call Source 2016 Donut,Government,official,0,424,0,214,The City of Calgary,Calgary Transit,null,null,null,null,['citizen-dashboard']
Transit- Person Crime Rate column,Transportation/Transit,official,0,454,0,231,null,Transit,null,null,null,null,['citizen-dashboard']
Transit- Person Crime Rate line,Transportation/Transit,official,0,470,0,387,null,Transit,null,null,null,null,['citizen-dashboard']
Transit Bus Reliability,Government,official,0,135,0,429,The City of Calgary,Calgary Transit,null,None,null,null,['citizen-dashboard']
Transit CTrain Reliability,Government,official,0,89,0,252,The City of Calgary,Calgary Transit,null,None,null,null,['citizen-dashboard']
Transit Incident Log,Transportation/Transit,official,0,28,0,256,The City of Calgary,Calgary Transit,Computer Aided Dispatch Auomatic Vehicle Locator,None,20180507-20180625 and 20190506-20190623,Yes,null
Transit LRT Stations,Transportation/Transit,official,0,455,0,1688,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,null,Yes,"['station', 'lrt', 'c-train']"
Transit LRT Stations Map,Transportation/Transit,official,0,40,0,331,null,null,null,null,null,null,null
Transit LRT Stations map,Transportation/Transit,official,0,883,0,3708,,,,,,,null
Transit Major CTrain Delays,Government,official,0,115,0,652,The City of Calgary,Calgary Transit,null,null,null,null,['citizen-dashboard']
Transit Peace Officer Calls,Government,official,0,198,0,489,The City of Calgary,Calgary Transit,null,None,null,null,['citizen-dashboard']
Transportation Utility Corridor,Services and Amenities,official,0,23,0,32,The City of Calgary,Calgary Growth Strategies,null,Monthly,null,Yes,null
Transportation Utility Corridor,Services and Amenities,official,0,235,0,1053,The City of Calgary,Calgary Growth Strategies,null,Monthly,null,Yes,"['tuc', 'mdp']"
Travel Times,Transportation/Transit,official,0,228,0,1158,The City of Calgary,Roads,INRIX Analytics,Continuous,null,No,"['travel time', 'road']"
TRIP,Transportation/Transit,official,0,24,0,120,The City of Calgary,Calgary Transit,Automated Passenger Counter (APC),null,20180507-20180625 and 20190506-20190623,null,null
Truck Routes - Hazardous Goods,Transportation/Transit,official,0,100,0,300,The City of Calgary,Transportation Planning,null,Irregular,null,Yes,"['access', 'truck', 'hazardous', 'restricted']"
Truck Routes - Hazardous Goods,Transportation/Transit,official,0,7,0,1,The City of Calgary,Transportation Planning,null,Irregular,null,Yes,null
Two-year ward population comparisons,Demographics,official,0,5,0,62,The City of Calgary,City Clerk's Office,null,Annually,1997-present,null,null
Types of COVID-19 related requests,Services and Amenities,official,0,4,0,74,The City of Calgary,Customer Service and Communications,null,Daily,null,No,null
Types of Traffic Control Signals,Health and Safety,official,0,8,0,249,null,null,null,null,null,null,null
Unemployment rates,Business and Economic Activity,official,0,2,0,406,null,null,null,null,null,null,null
Unemployment Statistics,null,official,0,3,0,147,null,null,null,null,null,null,null
Urban Forest - Public Tree Locations,Environment,official,0,20,0,896,null,null,null,null,null,null,null
User Guide - Main page,Help and Information,official,0,8,0,11909,The City of Calgary,Corporate Analytics and Innovation,null,null,null,No,"['help', 'how to', 'guide', 'tutorial', 'tutorials', 'video', 'videos']"
Vehicle Position Log,Transportation/Transit,official,0,32,0,324,The City of Calgary,Calgary Transit,Computer Aided Dispatch Auomatic Vehicle Locator (CADAVL),None,20180507-20180527 and 20190506-20190520,Yes,null
"Voting Stations (Effective October 16,  2017)",Government,official,0,159,0,2998,The City of Calgary,City Clerk's Office,null,Irregular,"from October 16, 2017",Yes,"['election', 'voting station', 'voting']"
"Voting Stations (Effective October 16,  2017) Map",Government,official,0,19,0,1289,null,null,null,null,null,null,null
Voting Subdivisions - 2018 Vote of the Electors,Government,official,0,116,0,98,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['vote', 'plebiscite', 'voting']"
Voting Subdivisions - 2018 Vote of the Electors,Government,official,0,16,0,43,The City of Calgary,City Clerk's Office,null,null,null,Yes,null
"Voting Subdivisions (effective October 16, 2017)",Government,official,0,76,0,355,The City of Calgary,City Clerk's Office,null,Irregular,null,Yes,"['voting', 'election']"
Voting Subdivisions,Government,official,0,183,0,3014,The City of Calgary,City Clerk's Office,null,Irregular,null,Yes,"['election', 'voting']"
Ward Boundaries,Government,official,0,1187,0,2333,The City of Calgary,City Clerk's Office,manual,Irregular,October 16 2017- October 2021,Yes,"['ward', 'election']"
Ward Boundaries,Government,official,0,86,0,11,The City of Calgary,City Clerk's Office,manual,Irregular,October 16 2017- October 2021,Yes,null
Ward Boundaries 2013-2017,Government,official,0,79,0,160,The City of Calgary,City Clerk's Office,null,None,"October 21 2013-October 16, 2017",Yes,['ward']
Ward Boundaries 2013-2017,Government,official,0,19,0,1,The City of Calgary,City Clerk's Office,null,None,"October 21 2013-October 16, 2017",Yes,null
Ward Boundaries for 2021 October 18 General Election,Government,official,0,47,0,207,The City of Calgary,City Clerk's Office,null,Irregular,null,Yes,null
Ward Map of Calgary Business Licences,Business and Economic Activity,official,0,4,0,343,The City of Calgary,Calgary Community Standards,null,Monthly,null,Yes,null
Wards and Communities Data Lens,Base Maps,official,0,21,0,1830,null,null,null,null,null,null,null
Waste and Recycling Collection Schedule,Services and Amenities,official,0,380,0,47910,The City of Calgary,Waste and Recycling Services,null,Daily,null,Yes,"['green', 'blue', 'black', 'carts', 'garbage', 'recycling', 'composting', 'schedule', 'collection', 'summer', 'winter']"
Waste Composition 2019 - Garbage,Help and Information,official,0,55,0,718,The City of Calgary,Waste and Recycling Services,null,None,2019,No,"['waste', 'garbage', 'waste composition', 'black cart']"
Waste per Capita,Government,official,0,203,0,1788,The City of Calgary,Waste and Recycling Services,null,Annual,null,null,['citizen-dashboard']
Waste Per Capita Bar,Government,official,0,453,0,485,null,null,null,Annual ,null,null,['citizen-dashboard']
Water- River Withdrawals line,Government,official,0,471,0,354,null,Water Resources and Water Services,null,Annual ,null,null,['citizen-dashboard']
Water- Toilet rebates by type stacked,Government,official,0,460,0,212,null,null,null,Annual,null,null,['citizen-dashboard']
Water Annual River Withdrawals,Government,official,0,190,0,261,The City of Calgary,Water Resources and Water Services,null,Annual,null,null,['citizen-dashboard']
Water Hydrants,null,official,0,133,0,295,The City of Calgary,Water Resources and Water Services,null,Weekly,null,Yes,"['fire hydrant', 'hydrant', 'water']"
Water Main Breaks,Environment,official,0,226,0,912,The City of Calgary,Water Resources and Water Services,null,Weekly,null,Yes,"['water', 'main break', 'corrosion', 'active', 'retired']"
Water Main Breaks Map,Environment,official,0,18,0,314,The City of Calgary,Water Resources and Water Services,null,Weekly - Monday,null,Yes,null
Water Main Breaks Trends,Environment,official,0,8,0,173,The City of Calgary,Water Resources and Water Services,null,Weekly - Monday,null,Yes,null
Water Single Family Consumption,Government,official,0,146,0,486,The City of Calgary,Water Resources and Water Services,null,Monthly,null,null,['citizen-dashboard']
Year To Date Economic Indicators,Business and Economic Activity,official,0,95,0,252,The City of Calgary,Finance,null,Monthly,null,No,"['unemployment', 'wage', 'building permits', 'housing starts', 'retail sales', 'inflation']"
Year to Date Fire Emergency Timeline,Government,official,0,484,0,116,City of Calgary,Calgary Fire Department,null,Daily,null,null,['citizen-dashboard']
Yearly Ridership (current year is year-to-date),Transportation/Transit,official,0,5,0,196,null,null,null,null,null,null,null
